Name,Address (text),Build era,City,Location,Num units,Street names,Type
Good Hope Farms,"460 Barbara Dr, Mechanicsburg, PA 17050",,Mechanicsburg,"460 Barbara Dr, Mechanicsburg, PA 17050-7200, United States",,,Single family
Townes at Forest Hills,,,,,,,
Margaret’s Grove,"Hamlin Ln, Harrisburg, PA 17110",,Harrisburg,"Hamlin Ln, Harrisburg, PA 17110, United States",,,Mixed
Arbordale,"Countryside Dr, Harrisburg, PA 17110",2012-13,Harrisburg,"Countryside Dr, Harrisburg, PA 17110, United States",,,Single family
Grandon Farms,"Augusta Dr, Mechanicsburg, PA 17050",2011,,"Augusta Dr, Mechanicsburg, PA 17050, United States",,August Dr,Duplex
Beacon Hill,"Yarmouth Ln, New Cumberland, PA 17070, United States",2011,New Cumberland,"Yarmouth Ln, New Cumberland, PA 17070, United States",,,Mixed
Dorset Square in Winding Hills,"Westland Ct, Mechanicsburg, PA 17055",2013,Mechanicsburg,"Westland Ct, Mechanicsburg, PA 17055, United States",55,"Gladstone Ct, Jonathan Ct, Westland Ct, Keswick Ct.",Townhome
Laurel Ridge,,,,,,,Townhome
Hunters Gate,,,,"Stable Ln, Mechanicsburg, PA 17050, United States",,,Single family
Millfording Highlands,"Balfour Dr, Mechanicsburg, PA 17050",,Mechanicsburg,"Balfour Dr, Mechanicsburg, PA 17050, United States",,,Single family
Victoria Abbey,,,,,,,Townhome
Townes at Richmond Square,,,,,,,
Chestnut Hollow,"Chestnut Hollow Dr, Dillsburg, PA 17019",2008,Dillsburg,"Chestnut Hollow Dr, Dillsburg, PA 17019, United States",32,"Chestnut Hollow Drive, Hollow Lane",Single family
Fairview Ridge,"Chestnut Way, New Cumberland, PA 17070",2013 - 2014,New Cumberland,"Chestnut Way, New Cumberland, PA 17070, United States",,Chestnut Way,Single family
Mountain View Estates,"Appalachian Ave, Carlisle, PA 17013",,Carlisle,"Appalachian Ave, Carlisle, PA 17013, United States",,,Single family
Wyndhurst Manor,,,,,,,
SchoolHouse Crossing,"Old Schoolhouse Ln, Mechanicsburg, PA 17055",2013,Mechanicsburg,"Old Schoolhouse Ln, Mechanicsburg, PA 17055, United States",42,,Townhome
Trindle Spring Heights,,2013,,,,,
Hamlet Square,,2011,,"24 Hamlet Cir, Mechanicsburg, PA 17050-5263, United States",,,Single family
Wellington Manor,,,,,,,Townhome
Jamestown Square,,,,,,,Townhome
Pine View,,,,,,,
Hawks Landing,,,,,,,Single family
Redbud Court,"Redbud Ct, Harrisburg, PA 17110",,Harrisburg,"Redbud Ct, Harrisburg, PA 17110, United States",10,Redbud Ct,
Copper Ridge,"Vista Cir, Lemoyne, PA 17043",2012,Lemoyne,"Vista Cir, Lemoyne, PA 17043, United States",84,"Indiana Circle, Vista Circle, Jay Circle, Crossgate Circle, Dougherty Drive",Townhome
Hampden Summit,"Summit Way, Mechanicsburg, PA 17050",,Mechanicsburg,"Summit Way, Mechanicsburg, PA 17050, United States",,,Single family
Chatham Glenn,"Chatham Glenn Way, Harrisburg, PA 17111",2016,Harrisburg,"Chatham Glenn Way, Harrisburg, PA 17111, United States",,Chatham Glenn Way,Single family
Meadowview Village,,,,,,,
Silver Creek,"Galleon Dr Mechanicsburg, PA 17050",2009,Mechanicsburg,"Galleon Dr, Mechanicsburg, PA 17050, United States",,,
Vista Square in Winding Hills,"Vista Dr, Mechanicsburg, PA 17055",2008,Mechanicsburg,"Vista Dr, Mechanicsburg, PA 17055, United States",26,Vista Drive,Townhome
Admirals Quay,"Admirals Quay Dr, Mechanicsburg, PA 17050, United States",2015-17,Mechanicsburg,"Admirals Quay Dr, Mechanicsburg, PA 17050, United States",,,Townhome
Olde Forge Station,,,,,,,
Tuscan Villas,,,,,,,
Lexington Estates,"Thoroughbred Dr, York Haven, PA 17370",2014,York Haven,"Thoroughbred Dr, York Haven, PA 17370, United States",,,Single family
Floribunda Heights,"4 Europeana Circle, Camp Hill, PA 17011",2012,Camp Hill,"4 Europeana Cir, Camp Hill, PA 17011-1028, United States",,Europeana Circle,Single family
Autumn Oaks,"Silver Maple Dr, Harrisburg, PA 17112",2015,Harrisburg,"Silver Maple Dr, Harrisburg, PA 17112, United States",,,Single family
Weatherstone,"Weatherstone Dr, New Cumberland, PA 17070",2014, New Cumberland,,,,
